0.500000 0.100000
0.637099 0.200000
0.943594 0.300000
1.407267 0.400000
2.009632 0.500000
2.726675 0.600000
3.529804 0.700000
4.386987 0.800000
5.263999 0.900000
6.125751 1.000000
6.937585 1.100000
7.666486 1.200000
8.282107 1.300000
8.757488 1.400000
9.069377 1.500000
9.198017 1.600000
9.126263 1.700000
8.837901 1.800000
8.314991 1.900000
7.534105 2.000000
6.461264 2.100000
5.045384 2.200000
3.210102 2.300000
0.843664 2.400000
-2.213123 2.500000
-6.181382 2.600000
-11.361026 2.700000
-18.150452 2.799999
-27.069136 2.899999
-38.783478 2.999999
-54.136219 3.099999
-74.179420 3.199999
-100.211609 3.299999
-133.819122 3.399999
-176.922195 3.499999
-231.825562 3.599999
-301.274811 3.699999
-388.517548 3.799999
-497.371002 3.899998
-632.294983 3.999998
-798.472351 4.099998
-1001.895630 4.199998
-1249.459106 4.299998
-1549.062500 4.399998
-1909.718872 4.499998
-2341.671631 4.599998
-2856.520752 4.699998
-3467.356689 4.799998
-4188.905762 4.899998
-5037.680664 4.999998
-6032.150391 5.099998
